;Holtwick;Hagehülsmann;Paul;Mühlberger;Schagen
The Weeknd;1;1;1;1;1
Spice Girls;1;1;1;1;1
Sophie and the Giants;1;1;1;1;1
Seeed;1;1;1;1;1
Robin Schulz;1;1;1;1;1
Queen;1;1;1;1;1
Purple Disco Machine;1;1;1;1;1
PITBULL;1;1;1;1;1
Pharrell Williams;1;1;1;1;1
Peter Schilling;1;1;1;1;1
Peter Fox;1;1;1;1;1
Michael Jackson;1;1;1;1;1
Luis Fonsi;1;1;1;1;1
Lucenzo;1;1;1;1;1
Lou Bega;1;1;1;1;1
Los del Rio;1;1;1;1;1
Kungs;1;1;1;1;1
Helene Fischer;1;1;1;1;1
HADDAWAY;1;1;1;1;1
FETTES BROT;1;1;1;1;1
EIFFEL 65;1;1;1;1;1
Ed Sheeran;1;1;1;1;1
Dua Lipa;1;1;1;1;1
Coldplay;1;1;1;1;1
Bruno Mars;1;1;1;1;1
Backstreet Boys;1;1;1;1;1
AVICII;1;1;1;1;1
Andreas Gabalier;1;1;1;1;1
ABBA;1;1;1;1;1
SNAP!;1;1;1;1;1
Earth, Wind & Fire;1;1;1;1;1
DON OMAR;1;1;1;1;1
DR. ALBAN;1;1;1;1;1
Deichkind;1;1;1;1;1
Andreas Bourani;1;1;1;1;1
A-HA;1;1;1;1;1
ACDC;1;1;1;1;1
Whitney Houston;1;0;1;1;1
USHER;0;1;1;1;1
Udo Jürgens;1;1;1;1;0
THE KILLERS;0;1;1;1;1
Stevie Wonder;1;0;1;1;1
Stereoact;1;1;0;1;1
Sportfreunde Stiller;1;1;1;1;0
SPIDER MURPHY GANG;1;1;1;1;0
Snoop Dogg;1;0;1;1;1
Sigala;1;0;1;1;1
SHOUSE;0;1;1;1;1
SAFRI DUO;1;1;0;1;1
Robin Thicke;1;0;1;1;1
Robbie Williams;1;1;1;0;1
Rihanna;1;1;1;1;0
PUR;1;1;1;0;1
Phil Collins;1;1;1;0;1
Panjabi MC;1;0;1;1;1
OFENBACH;0;1;1;1;1
Oasis;1;0;1;1;1
Nightcrawlers;1;0;1;1;1
NENA;1;1;1;1;0
Mia Julia;1;1;0;1;1
MELISSA ETHERIDGE;1;1;1;0;1
Matthias Reim;1;1;1;0;1
Mark Ronson;1;0;1;1;1
Marianne Rosenberg;1;1;0;1;1
Malle Anja;1;1;0;1;1
Maite Kelly;1;1;1;0;1
Madonna;1;0;1;1;1
Lorenz Büffel;1;1;0;1;1
LMFAO;1;1;1;0;1
LIQUIDO;1;1;1;1;0
Justin Wellington;1;1;1;1;0
Justin Timberlake;1;0;1;1;1
Jennifer Lopez;1;1;1;0;1
Jamiroquai;1;1;1;1;0
Imanbek;1;0;1;1;1
Harry Styles;1;0;1;1;1
GLORIA GAYNOR;1;1;1;1;0
Gigi D'Agostino;1;0;1;1;1
Flo Rida;1;0;1;1;1
FISHER;1;0;1;1;1
Farruko;1;0;1;1;1
Falco;1;0;1;1;1
Faithless;1;0;1;1;1
Elton John;1;1;1;1;0
DIE TOTEN HOSEN;1;1;1;1;0
DAVID GUETTA;0;1;1;1;1
DAFT PUNK;0;1;1;1;1
Daddy Yankee;1;0;1;1;1
Culcha Candela;1;1;1;1;0
Chubby Checker;1;0;1;1;1
Chaka Khan;1;1;1;0;1
Calvin Harris;1;0;1;1;1
Britney Spears;1;0;1;1;1
Bob Marley;1;0;1;1;1
Bee Gees;1;0;1;1;1
Anna-Maria Zimmermann;1;1;0;1;1
ALVARO SOLER;0;1;1;1;1
257ers;1;1;1;0;1
The BLACK EYED PEAS;1;0;1;1;1
Specktakel;1;0;0;1;1
Dj Ötzi;1;1;0;1;1
Die Fantastischen Vier;1;0;1;1;1
DIE ÄRZTE;1;1;0;1;1
DEPECHE MODE;1;0;1;1;1
CULTURE BEAT;1;1;1;1;0
BON JOVI;1;1;1;1;0
Barry White;1;1;1;1;0
Almklausi;1;1;0;1;1
Wolfgang Petry;1;1;0;0;1
Will Smith;0;0;1;1;1
WHEATUS;0;1;1;1;0
WALK THE MOON;0;1;1;0;1
VILLAGE PEOPLE;1;0;1;1;0
Vicky Leandros;1;0;1;1;0
Tyga;0;0;1;1;1
THE WEATHER GIRLS;0;1;0;1;1
THE POINTER SISTERS;1;0;1;0;1
TALKING HEADS;0;1;1;1;0
Summer Cem;1;0;1;0;1
Stromae;0;0;1;1;1
Sia;0;0;1;1;1
SEAN PAUL;0;1;1;0;1
Schürze;1;0;0;1;1
Santana;1;0;1;1;0
Ryan Lewis;0;0;1;1;1
Rupert Holmes;1;0;1;1;0
Roland Kaiser;1;1;1;0;0
Riton;0;0;1;1;1
REDNEX;1;0;0;1;1
Rammstein;1;0;1;1;0
RAM JAM;1;1;1;0;0
Psy;1;0;0;1;1
Prince;1;0;1;1;0
Paul Kalkbrenner;0;0;1;1;1
Papa Roach;1;0;1;0;1
P!nk;1;0;1;1;0
ÖWNBOSS;0;1;1;0;1
Olivia Newton-John;0;0;1;1;1
Nirvana;1;0;1;0;1
Namika;1;0;1;0;1
MILKY CHANCE;0;1;1;1;0
METALLICA;1;0;1;1;0
Master KG;1;0;1;1;0
Maroon 5;0;0;1;1;1
Mark Forster;1;1;0;0;1
Major Lazer;1;0;1;0;1
Macklemore;0;0;1;1;1
Lost Frequencies;0;0;1;1;1
Lionel Richie;1;0;1;0;1
Leony;0;0;1;1;1
LAS KETCHUP;0;1;0;1;1
Laid Back;1;0;1;1;0
Kylie minogue;1;0;1;0;1
KRAFTKLUB;0;1;1;0;1
KitschKrieg;1;0;1;0;1
KISS;0;1;1;0;1
KID CUDI;0;1;0;1;1
Kevin Lyttle;1;0;1;0;1
Kerstin Ott;1;1;0;1;0
Kelly Rowland;1;0;0;1;1
Jürgen Drews;1;1;0;1;0
Julian Sommer;1;1;0;0;1
John Newman;1;0;1;0;1
Joel Corry;1;0;1;0;1
Jay-Z;1;0;1;0;1
Jasmine Thompson;0;0;1;1;1
James Blunt;0;0;1;1;1
J. Balvin;1;0;1;0;1
Ida Corr;1;0;1;0;1
Icona Pop;1;0;1;1;0
Hubert Kah;1;0;1;1;0
Herbert Grönemeyer;1;1;1;0;0
GREGORY PORTER;0;1;1;0;1
Gloria Estefan;1;0;1;0;1
Glockenbach;1;1;0;1;0
GLASPERLENSPIEL;1;1;0;0;1
Gayle;0;0;1;1;1
Frankie Goes To Hollywood;1;0;1;1;0
FRANK SINATRA;0;1;1;1;0
Fatman Scoop;1;0;1;0;1
Eyelar;1;1;0;0;1
EURYTHMICS;1;0;1;1;0
Enrique Iglesias;1;1;1;0;0
Eminem;0;0;1;1;1
El Profesor;1;0;1;1;0
Donna Summer;1;0;1;1;0
DJ Bobo;1;1;0;0;1
Die Flippers;1;1;0;0;1
Die Firma;1;0;1;0;1
DENNIS LLOYD;0;1;1;0;1
Cro;0;0;1;1;1
Christina Aguilera;1;0;1;0;1
Cher;1;1;1;0;0
BYOR;1;0;1;0;1
Bryan Adams;1;1;1;0;0
BRONSKI BEAT;1;0;1;1;0
Boney M.;0;0;1;1;1
BILL WITHERS;0;1;1;1;0
Beyoncé;1;0;0;1;1
Beatrice Egli;1;1;0;0;1
ATB;1;1;0;0;1
Apache 207;1;0;1;0;1
Alice Merton;1;1;1;0;0
ACraze;1;0;1;0;1
WHIGFIELD;1;1;0;0;0
The Police;1;0;1;1;0
FLEETWOOD MAC;0;1;1;1;0
Felix Jaehn;0;0;1;1;1
DJ Robin;1;0;0;1;1
BLUR;0;1;1;1;0
AnnenMayKantereit;1;0;1;1;0
Alle Farben;1;0;0;1;1
Alexandra Stan;1;0;1;1;0
50 Cent;0;0;1;1;1
Willy William;0;0;1;0;1
will.i.am;0;0;1;1;0
WESTERNHAGEN;1;1;0;0;0
Wes;0;0;1;1;0
Wanz;0;0;1;0;1
Wanda;0;0;1;1;0
Voyce;1;1;0;0;0
VIZE;0;0;0;1;1
Vengaboys;1;0;0;0;1
VAN HALEN;1;0;1;0;0
T-Pain;0;0;1;0;1
Toto;0;0;1;1;0
Tosca;0;0;1;1;0
Topic;1;0;0;0;1
Tony Christie;1;0;0;1;0
TOBEE;0;1;0;0;1
TINA TURNER;0;1;1;0;0
Timati;1;0;0;0;1
Tim Toupet;1;1;0;0;0
Tiesto;0;0;1;1;0
The Temptations;0;0;1;1;0
The Supremes;1;0;1;0;0
The Shapeshifters;0;0;1;0;1
The Knocks;0;0;1;0;1
The Disco Boys;1;0;0;0;1
The BossHoss;1;0;0;1;0
THE BEACH BOYS;1;0;0;1;0
Taylor Swift;0;0;1;0;1
Take That;1;0;1;0;0
SURVIVOR;1;0;0;1;0
SUPERTRAMP;0;1;0;1;0
STYLE COUNCIL;0;1;1;0;0
STEPPENWOLF;0;1;1;0;0
Stella Starlight Trio;0;0;1;1;0
Steely Dan;0;0;1;1;0
St. Germain;0;0;1;1;0
SPIN DOCTORS;1;0;1;0;0
SOULSISTER;1;0;1;0;0
SOULOUNGE;0;1;1;0;0
Solomun;0;0;1;0;1
Soft Cell;1;0;1;0;0
Sofi Tukker;0;0;1;1;0
Snow;0;0;0;1;1
Small Jam;1;0;0;1;0
SIMPLY RED;0;1;1;0;0
SIMPLE MINDS;0;1;0;0;1
Simon & Garfunkel;0;0;1;1;0
SILK SONIC;0;1;1;0;0
Shawn Mendes;0;0;1;1;0
Shantel;0;0;1;1;0
SHAKIRA;1;0;1;0;0
SHAKATAK;0;1;1;0;0
Shaggy;1;0;1;0;0
SENOR COCONUT;0;1;1;0;0
Selena Gomez;1;0;0;0;1
SDP;1;0;0;1;0
Scotty;1;0;0;0;1
Scooter;0;0;0;1;1
Sasha;0;0;1;1;0
Sam Smith;0;0;1;1;0
Sam Cooke;1;0;1;0;0
