;16.7.;20.8.;11.6.;26.6.
CUTTING CREW;1;1;1;1
EAGLE-EYE CHERRY;1;0;1;0
CROWDED HOUSE;1;1;0;1
DOUBLE;1;0;0;1
DAVE STEWART;1;0;0;1
CURTIS MAYFIELD;1;0;0;0
FREAKPOWER;1;0;0;0
GEORGE MICHAEL;1;1;1;1
KOOL AND THE GANG;1;1;1;1
GRACE JONES;1;1;1;1
LIGHTHOUSE FAMILY;1;1;1;1
GEORGES BENSON;1;1;1;1
CHURCH;1;1;0;0
OLIVER CHEATHAM;1;1;1;1
MEZZOFORTE;1;0;0;1
SIMPLY RED;1;1;0;1
SHAKATAK;1;1;0;1
STYLE COUNCIL;1;0;0;1
SADE;1;1;1;1
THE BLOW MONKEYS;1;0;0;0
SHOLA AMA;1;0;0;0
TEARS FOR FEARS;1;1;0;0
MIKE AND THE MECHANICS;1;1;1;1
RANDY CRAWFORD AND THE CRUSADERS;1;1;1;1
JAMES MORRISON;1;0;0;0
EMMA BUNTON;1;0;0;0
BARRY WHITE;1;1;1;1
GREG KIHN BAND;1;0;0;0
ELTON JOHN;1;0;0;1
FLEETWOOD MAC;1;0;0;1
JIMMY NAIL;1;0;1;1
CULTURED PEARLS;1;1;1;1
CHRIS ISAAK;1;0;0;0
JOHN SECADA;1;1;1;1
LUTRICIA MCNEAL;1;0;0;1
JAMIROQUAI;1;1;1;0
BRUCE HORNSBY;1;0;0;1
EARTH, WIND AND FIRE;1;1;0;1
COCO FREEMAN;1;0;0;0
JOHNNY HATES JAZZ;1;0;0;0
JAMIE N COMMONS;1;0;0;0
KUNGS;1;0;0;0
SOPHIE AND THE GIANTS;1;1;1;0
WALK THE MOON;1;0;0;0
SUPER-HI AND NEEKA;1;1;0;0
THE WEEKND;1;1;0;0
GLOCKENBACH;1;1;0;0
ALVARO SOLER;1;1;1;1
DON OMAR;1;1;1;0
LUCENZO;1;1;1;0
JENNIFER LOPEZ;1;1;0;1
DR ALBAN;1;1;1;1
SAFRI DUO;1;1;1;1
VELILE AND SAFRI DUO;1;1;1;1
AVICII;1;0;0;0
SHOUSE;1;0;1;0
GIANT ROOKS;1;0;1;0
COLDPLAY;1;0;0;0
DAFT PUNK;1;0;0;0
ADELE;1;0;0;0
MELISSA ETHERIDGE;1;0;1;0
THE WEATHER GIRLS;1;0;0;0
PATRICK HERNANDEZ;1;0;0;0
DAN HARTMANN;1;0;1;0
BONEY M;1;0;0;1
GLORIA GAYNOR;1;0;1;0
ABBA;1;0;0;0
NICK KAMEN;1;0;0;0
SPIDER MURPHY GANG;1;1;0;0
IDEAL;1;0;0;0
MARKUS;1;1;0;1
DIE ÄRZTE;1;1;0;0
HERBERT GRÖNEMEYER;1;1;0;1
NENA;1;0;0;1
CHANNEL 5;1;0;0;0
R.E.M.;1;0;0;0
RED HOT CHILI PEPPERS;1;0;0;0
TWENTY ONE PILOTS;1;0;0;0
SIMPLE MINDS;1;0;0;0
INXS;1;0;0;0
BLOW MONKEYS;1;0;1;1
ORLANDO RIVA SOUND;1;0;0;0
E NOMINE;1;0;0;0
JOHNNY WAKELIN;1;0;0;0
GLASPERLENSPIEL;1;0;0;0
STEREOACT;1;1;0;0
MARK FORSTER;1;0;0;0
BOSSE;1;0;0;1
PETER FOX;1;0;0;1
ALICE MERTON;1;0;0;0
ROSE LAURENS;1;0;0;0
THE BLUES BROTHERS;1;0;0;0
THE ROCKY HORROR PICTURE SHOW;1;0;0;0
IKE TURNER;0;0;0;0
TINA TURNER;1;0;0;0
KISS;1;1;0;0
ACDC;1;1;0;0
GOLDEN EARRING;1;0;0;0
ZZ TOP;1;0;0;0
JETHRO TULL;1;0;0;0
SUPERTRAMP;1;0;0;0
MARILLION;1;0;0;0
CHRISTOPHER CROSS;1;0;1;0
THE DOOBIE BROTHERS;1;0;1;0
BACKSTREET BOYS;1;1;0;1
MICHAEL JACKSON;1;0;0;0
MIDNIGHT OIL;1;0;0;0
PHIL COLLINS;1;0;0;0
POLICE;1;0;0;0
TALKING HEADS;1;0;0;0
EXTRABREIT;1;1;0;0
MARIO JORDAN;1;0;0;0
JOHN DENVER;1;0;0;0
DOLLY PARTON;1;0;0;0
MÜNCHNER FREIHEIT;1;0;0;0
BEATLES;1;0;0;0
CITY;1;0;1;0
IMANY;0;1;0;1
AHA;0;1;0;1
BLACKNUSS;0;1;1;1
GROVER WASHINGTON;0;1;1;1
IT'S IMPERIAL;0;1;0;0
INCOGNITO;0;1;1;0
M PEOPLE;0;1;1;0
CECE PENISTON;0;1;1;0
GEORGE BENSON;0;1;0;1
MAXI PRIEST;0;1;0;0
CRASH TEST DUMMIES;0;1;0;0
LUNATIC SOUL;0;1;0;0
LUMINOUS;0;1;0;0
BLANK AND JONES;0;1;1;1
CORALIE CLEMENT;0;1;0;0
JAMIE CULLUM;0;1;0;1
MARC ANTOINE;0;1;0;1
CHRIS BOTTI;0;1;1;1
DIVA;0;1;0;1
EXODUS QUARTET;0;1;0;1
NU 7T´S;0;1;1;0
KATE YANAI;0;1;0;1
SENOR COCONUT;0;1;0;1
AGP BAND;0;1;0;0
IVE MENDES;0;1;0;0
CAMIEL;0;1;1;1
DONATI;0;1;1;0
FREDDIE RAVEL;0;1;0;0
BLUEZEUM;0;1;0;1
SILK SONIC;0;1;0;1
BRUNO MARS;0;1;0;1
DUFFY;0;1;0;0
EMPIRE OF THE SUN;0;1;0;0
MADCON;0;1;0;0
VOYCE;0;1;0;0
HELENE FISCHER;0;1;0;0
ANNA-MARIA ZIMMERMANN;0;1;0;0
HARPO;0;1;0;1
JOHN PAUL YOUNG;0;1;0;1
MILKANDSUGAR;0;1;0;1
ENRIQUE IGLESIAS;0;1;0;1
QUARTERHEAD;0;1;0;0
OFENBACH;0;1;0;0
ATB;0;1;0;0
EYELAR;0;1;0;0
BEATRICE EGLI;0;1;0;0
DJ ÖTZI;0;1;0;0
DIE FLIPPERS;0;1;0;0
MAITE KELLY;0;1;0;0
NIK P.;0;1;0;0
ANDREAS GABALIER;0;1;0;0
NIC;1;1;1;1
KERSTIN OTT;0;1;0;0
ROGER WHITTAKER;0;1;0;0
DJ HERZBEAT;0;1;0;0
BELOUIS SOME;0;1;0;0
HEATHER SMALL;0;1;1;0
SPICE GIRLS;0;1;0;1
EIFFEL 65;0;1;0;1
LOS DEL RIO;0;1;0;1
WHIGFIELD;0;1;0;0
SNAP!;0;1;0;0
LAS KETCHUP;0;1;0;1
LA BOUCHE;0;1;0;0
HADDAWAY;0;1;0;1
SYDNEY YOUNGBLOOD;0;1;0;0
MARIANNE ROSENBERG;0;1;0;0
BERNHARD BRINK;0;1;0;0
WOLFGANG PETRY;0;1;0;1
ROLAND KAISER;0;1;0;0
MALLE ANJA;0;1;0;0
MIA JULIA;0;1;0;0
LORENZ BÜFFEL;0;1;0;1
JULIAN SOMMER;0;1;0;0
MICKIE KRAUSE;0;1;0;1
DIE SCHLAGERPILOTEN;0;1;0;0
OLIVER FRANK;0;1;0;0
SPORTFREUNDE STILLER;0;1;0;1
UDO JÜRGENS;0;1;0;0
GREEK ZORBA;0;1;0;0
FELIX DE LUXE;0;1;1;0
RICHARD BIER;0;1;0;1
MARKUS BECKER;0;1;0;1
PETER WACKEL;0;1;0;1
FRAUENARZT AND MANNY MARC;0;1;0;1
DIE ATZEN;0;1;0;1
LMFAO;0;1;0;1
SEAN PAUL;0;1;0;0
QUEEN;0;1;0;0
GREEN DAY;0;1;0;0
BLUR;0;1;0;0
STEPPENWOLF;0;1;0;0
RAM JAM;0;1;0;0
PUHDYS;0;1;0;0
JÜRGEN DREWS;0;0;0;0
PETER SCHILLING;0;1;0;1
TOBEE;0;1;0;1
CULCHA CANDELA;0;1;0;1
SEEED;0;1;0;1
AGE OF LOVE;0;1;0;0
ARETHA FRANKLIN;0;0;1;0
CHER;1;1;1;0
CHRIS REA;0;0;1;1
DONNA LEWIS;0;0;1;0
KEN ROSS;0;0;1;0
SLIM MAN;0;0;1;0
SOULOUNGE;0;0;1;0
AMANDA ZULLO;0;0;1;0
DELEGATION;0;0;1;1
PATRIC SWAYZE;0;0;1;1
BILL WITHERS;0;0;1;1
NORAH JONES;0;0;1;0
GARLAND JEFFREYS;0;0;1;0
DOOBIE BROTHERS;1;0;1;0
FOUR TOPS;0;0;1;0
LUIS FONSI;0;0;1;0
DENNIS LLOYD;0;0;1;0
ROBIN SCHULZ;0;0;1;0
JUSTIN WELLINGTON;0;0;1;0
