;16.7.;20.8.;11.6.;26.6.
I'VE BEEN IN LOVE BEFORE;1;1;1;1
LA VIE EN ROSE;1;1;1;1
HAPPY;1;1;1;1
GIVE ME THE NIGHT;1;1;1;1
GET DOWN SATURDAY NIGHT (ORIGINAL 12');1;1;1;1
WHY CAN'T WE LIVE TOGETHER;1;1;1;1
OVER MY SHOULDER;1;1;1;1
STREET LIFE;1;1;1;1
LOVE´S THEME;1;1;1;1
JUST ANOTHER DAY;1;1;1;1
SING HALLELUJAH;1;1;1;1
PLAYED-A-LIVE;1;1;1;1
HELELE (SINGLE HOUSE MIX);1;1;1;1
LADIES NIGHT;1;1;0;1
IT'S ONLY LOVE;1;1;0;1
TOO HOT;1;1;1;0
DOWN ON THE STREET 2001;1;1;0;1
SOMETHING GOT ME STARTED;1;1;0;1
AIN´T NO DOUBT;1;0;1;1
FREE;1;1;0;1
COSMIC GIRL;1;1;1;0
LET'S GROOVE;1;1;0;1
IN THE DARK_PN;1;1;1;0
MAGIA_PN;1;1;0;1
DANZA KUDURO;1;1;1;0
LET'S GET LOUD;1;1;0;1
IT DOESN´T HAVE TO BE THIS WAY;1;0;1;1
EVERYBODY;1;1;0;1
LAST NIGHT A DJ SAVED MY LIFE (C AND J MIX)_PN;0;1;1;1
WINELIGHT (12 INCH);0;1;1;1
FALLING IN LOVE AGAIN;1;0;1;0
THE CAPTAIN OF HER HEART;1;0;0;1
HEART OF STONE;1;0;0;1
AS;1;0;1;0
UNDER THE MILKY WAY;1;1;0;0
GARDEN PARTY;1;0;0;1
LONG HOT SUMMER;1;0;0;1
YOU´RE A STAR;1;1;0;0
BIG LOVE;1;0;0;1
DESAFINADO;1;1;0;0
THE WAY IT IS;1;0;0;1
FOLLOWING THE SUN_PN;1;1;0;0
BROOKLYN (FEAT. CLOCKCLOCK)_PN;1;1;0;0
LOVE TONIGHT_PN;1;0;1;0
HEAT UP_PN;1;0;1;0
LIKE THE WAY I DO;1;0;1;0
RELIGHT MY FIRE;1;0;1;0
I AM WHAT I AM (KURZ);1;0;1;0
SKANDAL IM SPERRBEZIRK;1;1;0;0
ICH WILL SPAß;1;1;0;0
WESTERLAND;1;1;0;0
MÄNNER;1;1;0;0
IRGENDWIE, IRGENDWO, IRGENDWAN;1;0;0;1
KILLERPAPA;1;0;1;0
SEPTEMBER;1;0;1;0
DER LETZTE TANZ;1;0;0;1
HAUS AM SEE;1;0;0;1
I WAS MADE FOR LOVING YOU;1;1;0;0
THUNDERSTRUCK;1;1;0;0
RIDE LIKE THE WIND;1;0;1;0
LONG TRAIN RUNNIN';1;0;1;0
AM FENSTER (MAXI);1;0;1;0
EARLY MORNING;0;1;0;1
SUGAR SUGAR HONEY;0;1;0;1
TOO FUNKY;0;1;0;1
ALWAYS THERE;0;1;1;0
FINALLY;0;1;1;0
