	6.5.	14.5.	10.6.	6.8.	20.8.	17.9.	24.9.
10 CC	0	0	1	1	1	0	1
112	0	0	0	0	1	0	0
2 Pac	0	1	0	0	0	0	0
2 Unlimited	0	1	0	0	0	0	0
257ers	0	0	0	1	0	0	0
2raumwohnung	0	0	1	1	1	0	1
A1 x J1	0	0	0	0	0	1	0
A7S	1	0	0	1	0	1	0
ABBA	0	0	1	0	0	0	1
ACDC	0	1	0	0	1	0	0
Ace of Base	1	0	1	1	1	0	1
ACraze	0	0	1	1	1	1	0
Aexit	1	0	0	0	0	0	0
After Party	0	0	0	0	0	1	0
A-HA	0	1	0	1	1	0	1
Akcent	0	0	0	0	0	1	0
Al Bano Carrisi	0	0	0	0	0	1	0
Alesso	0	0	0	0	0	1	0
Alex C.	1	0	0	0	0	0	0
Alexandra Stan	0	0	0	0	0	1	0
Alice Merton	0	0	0	0	0	1	0
Alicia Keys	0	0	1	1	1	0	1
All 4 One	0	0	1	0	1	0	1
Alle Farben	1	0	0	1	0	0	0
Almklausi	0	0	1	0	0	0	0
Amanda	0	0	0	0	0	1	0
Anastacia	0	0	0	0	0	0	1
Andrea Berg	1	0	1	1	1	1	1
Andreas Bourani	0	0	1	0	1	0	0
Andreas Gabalier	1	0	1	0	1	0	0
Anna-Maria Zimmermann	1	0	1	1	1	0	0
AnnenMayKantereit	1	0	1	0	1	1	0
Apache 207	0	0	0	0	0	1	0
Aqua	0	1	0	0	0	1	0
ATB	1	0	0	0	0	0	0
Atc	0	1	0	0	0	0	0
Atomic Kitten	0	0	1	1	1	0	1
Aventura	1	0	1	1	1	0	1
AVICII	1	0	1	1	1	0	1
Axel Fischer	1	0	0	0	1	0	1
Ayman	0	0	1	1	1	0	0
Backstreet Boys	0	1	1	0	0	0	0
Bangles	1	0	0	0	0	0	0
BARCLAY JAMES HARVEST	0	0	0	1	0	0	0
Barry White	0	0	0	0	1	0	1
Basta	0	0	0	0	0	1	0
Beatrice Egli	1	0	0	0	0	0	0
Bee Gees	0	0	0	0	0	0	1
Beyoncé	1	0	1	1	1	1	0
Bill Haley	0	0	0	0	1	1	0
Bill Medley	1	0	0	1	0	0	0
BLACK & WHITE BROTHERS	0	1	0	0	0	0	0
Blackstreet	0	1	0	0	0	0	0
Blankenlocher Pfinzspatzen	0	0	0	0	0	1	0
Blue	1	0	1	0	0	0	0
Blue Lagoon	1	0	0	0	0	0	0
Bob Marley	0	0	1	1	0	1	0
BON JOVI	0	1	0	0	1	0	0
Bonnie Tyler	0	1	0	0	0	0	0
Bow Anderson	0	0	0	0	0	1	0
Boys	0	0	0	0	0	1	0
Boyzone	0	0	1	1	1	0	0
Britney Spears	0	0	0	0	0	0	1
BRONSKI BEAT	0	1	0	0	0	0	0
Bruce Channel	0	0	0	1	1	1	0
Bruno Mars	0	0	0	0	0	0	1
Bryan Adams	0	1	0	0	1	1	0
Bryn Christopher	0	0	0	0	0	1	0
BUDDY	0	0	1	1	0	1	0
BÜRGER LARS DIETRICH	0	0	0	1	1	0	0
BUSTER POINDEXTER	0	1	0	0	0	1	0
BYOR	0	0	0	0	0	0	1
Calvin	1	0	0	0	0	1	0
Calvin Harris	1	0	0	0	0	0	0
Carly Rae Jepsen	0	0	1	0	0	0	0
Cassandra Steen	0	0	1	1	1	0	0
CHAKA DEMUS & PILERS	0	1	0	0	0	0	0
Chaka Khan	0	1	0	0	0	0	1
Chaos Team	0	0	1	0	0	0	0
Charles & Eddie	0	0	1	1	1	0	0
Charlie Puth	0	0	0	0	0	1	0
Cher	0	1	0	0	0	0	0
Cher And Sonny	0	0	1	1	1	0	0
Cherish	0	0	0	0	0	1	0
Chris Brown	0	0	1	1	1	0	0
Chris Rabatz	0	0	0	0	1	0	0
Christina Aguilera	0	1	1	1	1	0	0
Chubby Checker	0	0	0	1	1	1	0
Civo	0	0	0	0	0	1	0
Clean Bandit	0	0	0	0	0	1	0
ClockClock	0	0	0	0	1	1	0
Clueso	0	0	1	0	0	0	0
Coldplay	0	0	0	0	0	1	0
Conkarah	1	0	0	1	1	0	0
Connie Francis	0	0	0	0	0	1	1
Cook Robin	1	0	0	0	0	0	0
Cora	1	0	0	0	0	0	1
Creedance Clearwater Revival	0	0	0	0	0	0	1
Culcha Candela	1	0	0	1	1	1	1
CULTURE BEAT	0	1	0	0	1	0	0
CULTURE CLUB	0	0	0	1	0	0	0
Cyndi Lauper	0	1	0	0	0	1	1
Daddy Yankee	1	0	0	1	0	1	0
DAN HARTMAN	0	1	0	0	0	0	0
Danzel	1	0	0	0	0	1	0
Darude	0	0	0	1	0	0	0
David Dundas	1	0	0	0	0	0	0
D-Bomb	0	0	0	0	0	1	0
De Boore & Bärchen	0	0	0	1	0	0	0
Deichkind	0	0	1	1	0	0	0
Demi Lovato	1	0	0	0	0	1	0
Deni Hines	1	0	0	0	0	0	0
DEPECHE MODE	0	1	0	0	0	0	0
DESREE	0	0	0	1	1	0	0
Dexys Midnight Runners	0	1	0	0	0	0	0
Diana King	1	0	0	0	0	0	0
Diana Ross	0	1	0	1	0	0	0
DIE ÄRZTE	0	1	0	1	0	0	1
Die Doofen	0	1	0	0	0	0	0
Die Draufgänger	0	0	0	0	1	0	0
Die Fantastischen Vier	1	1	0	1	0	0	0
Die Firma	0	0	1	0	0	0	0
Die Flippers	0	0	1	1	1	0	0
Die sind ja	0	0	1	0	0	0	0
DIE TOTEN HOSEN	0	0	0	1	1	1	1
Die Zipfelbuben	0	0	0	1	1	1	0
Diplo	0	0	0	0	0	1	0
DISCOBOYS	0	0	1	0	1	0	1
DJ ANTOINE	1	0	0	1	0	0	0
DJ Bobo	1	1	1	1	1	0	0
Dj Cashi	0	0	0	1	1	1	0
DJ Herzbeat	1	0	0	0	1	0	0
Dj Ötzi	1	0	1	1	0	1	0
DJ Robin	0	0	1	1	1	1	0
DJ The Wave	0	0	1	1	0	0	0
Dj Tonka	0	1	0	0	0	0	0
DMX	0	1	1	1	1	1	0
Don Omar & LUCENZO	0	0	0	1	0	1	0
Donna Summer	0	0	0	0	0	0	1
Doris Day	0	0	0	1	0	0	0
Dove Cameron	0	0	0	0	0	1	0
DR. ALBAN	0	1	0	0	0	0	0
Drafi Deutscher	0	0	0	0	1	0	0
Dua Lipa	1	0	1	0	0	1	0
Duke & Jones	0	0	1	0	0	0	0
DURAN DURAN	0	1	0	0	0	0	0
Earth, Wind & Fire	0	0	1	1	1	1	1
Ed Sheeran	1	0	1	0	1	1	0
Eddie Rabbitt	0	0	0	0	0	0	1
EIFFEL 65	0	1	1	0	0	0	0
El Profesor	0	0	0	0	0	1	0
Elton John	1	0	1	0	0	1	1
Elvis Presley	0	0	0	0	1	0	1
Enrique Iglesias	1	0	1	1	1	1	0
Erasure	0	0	1	1	0	0	0
Eric Prydz	1	0	0	0	0	0	0
EURYTHMICS	0	1	0	0	0	0	0
Exaited	0	0	0	0	0	1	0
Extazy	0	0	0	0	0	1	0
Eyelar	0	0	0	0	0	1	0
Faithless	0	1	0	1	1	0	0
Falco	1	0	0	0	0	0	0
Farruko	0	0	0	1	0	1	0
Fatman Scoop	0	0	1	1	1	1	0
Fedde Le Grand	1	0	1	0	0	0	0
