;7.5.;28.5.;11.6.;17.6.;18.6.;2.7.;6.8.;20.8.;3.9.;24.9.
Zucchero;0;0;0;0;1;0;1;0;0;0
Zillertaler Schuerzenjaeger;0;0;0;0;0;0;0;0;1;0
Zero 7;0;0;0;0;0;0;0;1;1;0
Young Thug;0;1;1;0;1;0;0;0;1;1
Wiz Khalifa;0;1;0;0;1;1;0;0;1;0
Wirtz;0;0;0;0;0;0;0;1;0;0
Willy DeVille;0;1;0;0;0;0;0;0;1;1
Willow Sage Hart;0;1;0;0;0;0;0;0;0;0
Willie Nelson;0;1;0;0;0;0;0;0;0;0
Will.I.Am;1;0;1;0;0;0;0;0;0;0
Will Smith;1;0;1;0;1;0;0;0;0;0
Whiz Kalifa;0;0;0;0;0;0;0;0;0;0
Whitney Houston;0;1;0;0;0;0;0;0;0;0
Whitesnake;0;0;0;1;0;0;0;0;0;0
Wheatus;0;0;0;1;0;0;0;0;0;0
Wes;1;0;0;0;0;1;0;0;0;0
wendehals;0;0;0;0;0;0;1;0;0;0
Warren G;0;1;0;0;0;0;0;1;0;0
Wanda;1;0;1;1;0;0;1;0;0;1
VIZE;1;0;0;0;0;0;0;0;0;1
Visage;0;0;0;0;0;0;0;1;0;0
Violent Femmes;0;0;0;1;0;0;0;0;0;0
VILLAGE PEOPLE;0;0;1;0;0;0;1;0;1;0
Vicky Leandros;0;0;0;0;0;0;0;0;1;0
Venga Boys;0;0;0;1;0;0;0;0;0;0
Various Artists;1;1;1;0;1;1;1;0;0;1
Usher;1;0;0;0;0;0;0;0;0;0
Us3;1;1;0;0;0;0;0;0;0;0
Udo Jürgens;0;0;1;0;0;0;1;0;0;1
Tyga;0;0;0;1;0;0;0;0;0;0
Tullio De Piscopo;0;1;0;0;0;0;0;0;0;0
Tube & Berger;1;0;0;0;0;0;0;0;0;0
Toto;1;0;0;1;1;0;0;0;0;0
Tosca;0;0;0;0;0;0;0;0;0;1
Tony Christie;0;0;0;0;0;0;1;0;0;0
Tones & I;0;0;1;0;0;0;0;0;1;0
Tom Gregory;1;0;0;0;0;0;0;0;0;0
Timothy Auld;1;0;0;1;0;0;0;0;0;0
Tiesto;0;0;0;0;0;0;0;0;0;1
The Weeknd;1;0;1;0;1;0;0;0;0;0
The Weather Girls;0;0;1;0;0;0;0;0;0;0
The Temptations;0;1;0;0;0;0;0;0;1;0
The Searchers;0;0;0;0;0;0;0;0;0;1
The Rubettes;0;0;0;0;0;0;1;0;0;1
The Police;0;0;0;0;0;0;1;0;0;0
The Poet of Rhythm;0;0;0;0;0;1;0;0;0;0
The Love Unlimited Orchestra;0;1;0;0;0;1;0;0;0;0
THE KILLERS;0;0;0;1;0;0;0;0;0;0
The Human League;0;1;0;0;0;0;0;1;0;0
The Doors;0;0;0;0;0;0;1;0;0;0
The Crusaders;0;0;0;0;0;0;0;1;0;0
The Crooklyn Clan;1;0;0;0;0;0;0;0;0;0
The Chic Organization;1;0;0;0;0;0;0;0;0;0
The Chemical Brothers;0;0;0;1;1;0;0;0;0;0
The Chainsmokers;0;0;0;0;0;0;0;0;0;1
The BossHoss;1;0;1;0;0;0;1;1;1;1
The Blue Boy;0;0;0;0;0;1;0;0;0;0
The Black Eyed Peas;1;0;1;1;1;1;1;0;1;1
The Beginning Of The End;1;0;0;0;0;0;0;1;0;0
The Beach Boys;0;0;0;0;0;0;0;0;0;1
The Archies;0;0;0;0;0;0;1;0;0;1
Texas Lightning;1;1;0;0;0;0;0;0;0;0
Talking Heads;0;0;0;0;0;0;0;0;0;1
Take Me To Rio Collective;0;1;0;0;0;0;0;0;1;1
SZA;1;0;0;0;0;0;0;0;0;0
Suzi Quatro;0;1;1;0;0;0;0;0;0;0
Survivor;1;0;0;0;0;0;0;0;0;0
Surf Mesa;0;0;1;0;0;1;1;0;1;1
Supremes;0;0;1;0;0;0;0;0;0;0
Supertramp;1;0;0;0;0;0;1;0;0;0
SUPER-Hi;1;0;0;0;0;0;0;0;0;0
Stubete Gäng;0;0;0;0;0;0;0;0;0;1
Stromae;0;1;0;1;0;0;0;0;1;1
Stretch;1;0;1;0;0;1;0;0;0;0
Sting;0;0;0;0;0;0;1;0;0;0
Stevie Wonder;0;0;0;0;0;1;0;0;0;0
Stereoact;0;0;0;0;0;0;0;0;1;0
Stereo Dub;0;1;0;0;0;0;0;0;0;0
Stephane Pompougnac;0;0;0;0;0;0;0;0;0;1
Stella Starlight Trio;0;0;0;0;0;0;0;0;1;1
Steely Dan;1;0;0;1;0;0;0;1;0;0
St. Germain;0;0;0;1;0;0;0;0;0;0
Sportfreunde Stiller;0;0;0;1;1;0;1;0;1;0
