;7.5.;28.5.;11.6.;17.6.;18.6.;2.7.;6.8.;20.8.;3.9.;24.9.
Laurinlounge;1;1;1;1;0;0;1;0;0;0
Lucky Day;1;0;0;0;0;0;0;0;0;0
Lost on You;1;0;0;0;0;0;0;0;0;0
Nothing Breaks Like a Heart;1;1;0;0;0;0;0;0;0;0
Run;1;1;0;1;0;0;1;0;0;1
Waiting for the Summer;1;0;0;0;0;0;0;0;0;1
Unsere Lieder;1;0;0;0;0;0;0;0;0;0
What lovers do;1;0;0;0;0;0;0;0;0;0
Rambla;1;0;0;0;0;0;0;0;0;0
Devi solo ballare;1;0;0;0;0;0;0;0;0;0
Ritmo Con Aché;1;0;0;0;0;0;0;0;0;0
Pelota;1;1;0;0;0;0;0;1;0;0
If I Ever Feel Better;1;0;0;0;0;0;0;0;1;0
Save Your Tears;1;0;1;0;0;0;0;0;0;0
Bonfire Heart;1;0;0;0;0;0;0;0;0;0
La Libertad;1;0;0;0;0;0;1;0;0;0
Dancing With A Stranger;1;0;0;0;0;0;0;0;0;0
Ich will nur daß du weißt;1;0;0;0;0;0;0;0;0;0
Columbo;1;0;1;1;0;0;1;0;0;0
Junge Römer;1;0;0;0;0;0;0;0;0;0
Treasure;1;0;1;0;0;0;0;0;0;0
Love Never Felt So Good;1;0;0;0;0;0;0;0;0;0
Wot;1;0;0;0;0;0;0;0;0;0
It's Not Unusual;1;0;0;0;0;0;1;0;0;0
Cocaine;1;0;0;0;1;0;0;1;0;0
Sunshine Day;1;1;0;0;0;1;0;0;0;1
Smooth;1;0;0;0;0;0;1;1;0;0
La Flaca;1;0;0;0;0;0;0;0;0;0
we are family;0;0;0;0;0;0;0;0;0;0
Get Down On It;1;0;0;0;0;0;0;0;0;0
Why did you do it;1;0;1;0;0;1;0;0;0;0
Riva (Restart The Game);1;0;0;0;0;0;0;0;0;0
Blossom;1;0;0;0;0;0;0;0;0;1
Otherside;1;0;0;0;0;0;0;0;0;0
Bakerman;1;0;0;0;0;0;0;0;0;0
She Moves;1;0;0;0;0;0;0;0;0;0
Stolen Dance;1;0;0;1;0;0;0;0;0;0
Holiday;1;0;0;0;0;0;0;0;0;0
Don't Be So Hard On Yourself;1;0;0;0;0;0;0;0;0;0
Alive;1;0;1;1;1;0;0;1;0;1
Rescue Me;1;0;0;0;0;0;0;0;0;0
Sing;1;1;0;1;1;0;1;0;1;1
Cantaloop;1;1;0;0;0;0;0;0;0;0
Funky Nassau;1;0;0;0;0;0;0;1;0;0
Get Down Saturday Night;1;0;0;0;0;0;0;1;0;0
Everybody Move;1;0;0;0;0;0;0;0;0;0
Ain't Nobody;1;0;0;0;0;0;0;0;0;0
In My Arms;1;0;0;0;0;0;0;1;0;0
Do It Again;1;0;0;1;0;0;0;1;0;0
The Logical Song;1;0;0;0;0;0;1;0;0;0
Little L;1;0;0;0;0;0;0;1;0;0
Got To Give It Up;1;0;0;0;0;0;0;0;0;0
Lost In Music;1;0;0;0;0;0;0;0;0;0
September;1;1;1;0;0;0;0;0;1;0
Synchronize;1;0;0;0;0;0;0;0;0;0
Brooklyn;1;0;0;0;0;0;0;0;0;0
Following The Sun;1;0;0;0;0;0;0;0;0;0
Howling at the Moon;1;0;0;0;0;0;0;0;0;0
Someday;1;0;0;0;0;0;0;0;0;0
Girls Go Wild;1;0;0;0;0;0;0;0;0;0
Take My Breath;1;0;0;0;1;0;0;0;0;0
 Giant;1;0;0;1;1;0;0;0;0;0
abcdefu;1;0;0;0;0;0;0;0;0;0
Cola;1;0;0;0;0;0;0;0;1;1
WE COULD BE DANCING;1;0;0;0;0;0;0;0;0;0
Where Are You Now;1;0;0;0;0;0;0;0;0;0
River;1;1;1;1;0;0;1;0;1;0
Jolene;1;0;0;0;0;0;0;0;0;0
No no never;1;1;0;0;0;0;0;0;0;0
The One;1;0;0;0;0;0;1;0;0;0
Footprints;1;0;0;0;0;0;0;0;0;0
Just got paid;1;0;0;0;0;0;0;0;0;0
Old School Romance;1;0;0;0;0;0;0;1;0;0
Sacrifice;1;0;0;0;0;0;0;0;0;0
Never Going Home;1;0;1;0;1;0;0;0;0;1
Don't be so shy;1;0;0;0;0;0;0;0;0;0
 Senorita;1;0;0;1;0;0;0;1;0;0
At The Disko;1;0;0;0;0;0;0;0;0;0
don't turn it off;1;0;0;0;0;0;0;0;0;0
Ma Quale Idea;1;0;0;1;0;0;0;1;0;0
Ain't That Funkin' Kinda Hard on You?;1;0;0;0;0;0;0;0;0;0
Street Life;1;0;0;0;0;0;0;1;0;0
Hooked On You;1;0;0;1;0;0;0;0;0;0
Waves;1;0;0;0;0;0;0;0;0;0
Sonnentanz;1;0;0;0;0;0;0;0;0;1
Can We Live;1;0;0;0;0;0;0;0;0;0
Cocaine Blues;1;0;0;0;1;0;0;1;0;0
Smoke on the Water;1;0;0;0;0;1;0;0;0;0
Turn on tune in cop out;1;1;0;0;0;0;0;1;0;0
Bones Bugalù;1;1;0;0;0;0;0;1;0;0
ASTOUNDED;1;0;0;0;0;0;0;0;0;0
Sun Is Shining;1;0;0;0;0;0;0;0;0;0
Don't Go Yet;1;0;0;0;1;0;0;0;0;0
La Vereda (Cada Vez);1;0;0;0;0;0;0;0;0;0
Body Funk;1;0;0;0;0;0;0;0;0;0
Alane;1;0;0;0;0;1;0;0;0;0
We Got Love;1;0;0;0;0;0;0;0;0;0
Jubel;1;1;0;0;0;0;0;0;0;0
Wake Me Up;1;0;0;1;0;0;0;0;0;0
Exotica;1;0;0;0;0;0;0;0;0;0
Told You So;1;0;0;0;1;0;0;0;0;0
Roses;1;0;0;0;0;0;0;0;1;1
Photograph;1;0;0;0;0;0;0;0;0;0
Friday;1;0;1;1;0;0;0;0;1;0
OMG What's Happening;1;0;0;0;0;0;0;0;0;0
Rock It;1;0;0;0;0;0;0;0;0;0
Sweet Dreams;1;0;0;1;1;1;0;1;0;0
Finder;1;0;0;0;0;0;0;0;0;0
Fireworks;1;0;1;0;0;0;0;0;0;0
Around the World;1;0;0;0;0;0;0;1;0;0
Cold Heart;1;1;0;0;0;0;0;1;1;1
Groovejet;1;0;0;0;0;0;0;1;1;0
LE FREAK;1;0;0;0;0;0;0;1;0;0
Promises;1;0;0;0;0;0;0;1;0;0
Shotgun;1;0;0;0;0;0;0;0;0;0
So Blue;1;0;0;0;0;0;0;0;0;0
Marea;1;0;0;0;0;0;0;0;0;0
