;7.5.;14.5.;21.5.;27.5.;4.6.;5.6.;11.6.;24.6.;2.7.;16.7.;23.7.;13.8.;19.8.;20.8.;26.8.;27.8.;2.9.;3.9.;17.9.;24.9.
;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Queen;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1
Backstreet Boys;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
Spice Girls;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
Chubby Checker;1;0;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1
Don Omar;0;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
Lucenzo;0;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
Jazzamor;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
Macklemore;0;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1
Ray Charles;1;0;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1
Bellini;0;1;0;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1
Neuton;0;1;0;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0
C+C Music Factory;0;1;0;0;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1
Cher;1;1;0;1;1;0;1;1;1;0;0;1;1;1;0;1;1;1;0;1
Dr. Alban;1;0;0;0;1;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1
Eve;1;0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;0
Farruko;0;1;0;0;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;1
Lumidee;0;1;0;1;1;1;0;1;1;0;1;1;1;0;1;1;1;0;1;1
Panjabi MC;0;1;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;1
Seeed;0;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;0
Air;0;1;0;0;1;1;1;0;1;0;1;0;1;1;0;1;1;1;1;1
Wanz;0;1;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;0;1;1
Monty Alexander;0;1;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;0;1;1
Shouse;0;0;0;0;1;1;0;1;1;0;1;1;0;1;1;1;1;1;1;1
Britney Spears;0;1;0;0;0;0;1;1;1;1;1;1;1;0;0;1;1;1;0;1
Club des Belugas;0;1;1;1;1;1;0;1;1;0;1;1;0;0;1;0;0;0;1;1
Ed Sheeran;0;1;0;0;1;1;0;1;1;1;1;0;0;1;0;1;1;1;0;1
Jennifer Lopez;0;1;0;0;1;1;1;0;1;1;0;1;1;0;1;1;1;1;0;0
Joni Mitchell;0;1;1;0;1;0;0;1;0;0;1;0;1;1;0;1;1;1;1;1
Kelly Clarkson;0;1;0;1;0;0;1;0;1;0;1;1;1;0;1;1;1;1;0;1
Lmfao;0;1;0;0;1;0;1;1;1;0;1;1;1;0;0;0;1;1;1;1
Randy Crawford;0;1;0;1;1;0;0;1;0;0;1;0;0;1;1;1;1;1;1;1
Reel 2 Real;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1
Riton;0;0;0;0;0;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1
Robbie Williams;0;1;1;0;0;0;1;1;1;0;1;1;1;1;0;1;1;1;0;0
Aloe Blacc;0;1;0;0;0;1;1;1;1;1;1;0;1;0;0;1;1;1;0;0
Beyonce;0;1;0;1;0;1;0;1;0;1;1;0;1;0;0;1;1;0;1;1
Disclosure;0;1;0;0;1;1;1;1;0;1;1;0;1;0;1;1;0;1;0;0
Dr. Dre;0;0;0;1;0;0;0;1;1;1;1;1;1;0;1;1;0;0;1;1
Garland Jeffreys;0;1;1;0;1;0;0;1;0;0;1;0;1;1;0;1;0;1;1;1
Pitbull;0;1;0;0;0;1;1;1;1;0;1;1;1;0;1;0;1;0;0;1
Lou Bega;0;0;1;1;1;0;0;0;1;0;1;1;1;0;0;0;1;1;1;1
Mark Ronson;0;0;0;1;1;1;0;0;1;0;1;1;1;1;1;1;0;0;1;0
Michael Jackson;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;1;1;1;1
Mika;0;1;0;1;1;1;0;1;1;1;1;0;1;0;0;0;1;1;0;0
Peter Fox;0;1;0;1;1;1;0;0;1;0;1;1;1;0;1;1;0;0;0;1
Rihanna;0;1;0;1;0;1;0;0;0;0;1;1;1;0;0;1;1;1;1;1
Sade;1;1;1;0;1;0;1;1;0;0;0;0;0;1;0;1;1;1;1;0
Soul II Soul;0;0;0;0;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0;0
Stardust;0;0;0;0;1;1;0;1;0;0;1;1;0;0;1;1;1;1;1;1
Tosca;1;1;0;0;1;1;0;1;1;0;0;1;0;0;1;0;0;1;1;1
When 'Airy Met Fairy;0;1;0;0;0;1;1;0;1;0;1;0;1;1;0;1;1;0;1;1
ABBA;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0
Anakelly;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
Aretha Franklin;0;1;1;1;0;1;0;1;1;0;1;0;0;1;0;1;0;1;0;0
Daddy Yankee;0;1;0;1;1;0;0;1;1;1;0;0;0;0;1;1;1;0;1;0
Dieter Thomas Kuhn;0;0;1;1;1;1;0;0;1;0;1;1;0;0;0;0;0;1;1;1
Fettes Brot;0;0;0;1;1;1;0;1;1;0;0;0;1;0;1;1;1;0;1;0
Imagination;0;1;0;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;1;0
Joel Corry;0;0;0;0;1;0;0;1;1;0;1;1;0;0;1;1;1;0;1;1
Ziggy Stardust;0;0;0;0;1;1;0;1;0;0;1;1;0;0;0;1;1;1;1;1
Master KG;0;0;0;0;1;0;0;1;1;0;1;1;0;0;1;1;1;0;1;1
Modjo;0;1;0;0;0;0;1;1;1;0;1;0;1;1;1;1;0;1;0;0
Modjo Band;0;1;0;0;0;0;1;1;1;0;1;0;1;1;1;1;0;1;0;0
Nightcrawlers;0;0;0;0;0;1;0;1;0;1;1;0;1;0;1;1;1;1;0;1
Paul Anka;0;1;0;0;1;1;0;1;1;0;1;1;0;1;0;1;0;1;0;0
Ludacris;0;1;0;1;1;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0
Usher;0;1;0;1;1;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0
Lil' Jon;0;1;0;1;1;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0
will.i.am;0;1;0;0;0;0;1;1;0;1;1;1;0;0;0;1;1;1;0;1
Al Jarreau;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0;1;0;1;1
Brings;1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;1;1;1;0;0
Bruno Mars;0;1;0;1;1;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0
Calvin Harris;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;1;1;0;1
Sean Paul;0;0;0;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;1;1
Deichkind;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;0;1;0;1;1
Stevie Wonder;0;0;0;1;1;1;1;0;0;0;1;0;0;1;1;1;0;1;0;0
Elton John;0;0;1;0;1;0;1;1;0;0;0;1;1;0;0;1;1;1;0;0
Gala;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;0
Haddaway;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;1;1;1;0;1
Jack Johnson;0;1;0;0;1;1;0;1;1;1;0;0;0;0;0;1;1;0;0;1
Jan Delay;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0
Lea;0;0;0;0;1;0;1;0;1;1;1;1;0;0;1;0;1;0;0;1
Liquido;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;1;0;0;1;1
Ryan Lewis;0;0;0;1;0;1;0;0;0;0;0;1;1;0;1;1;1;0;1;1
Natalie Cole;0;0;0;1;0;1;0;1;1;0;1;0;0;1;0;0;0;1;1;1
Nicolette Larson;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;0
Ofenbach;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;1;1;0;1
Orson;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1;1;1;1;0;0
Paveier;1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;1;1;1;0;0
Phil Collins;1;0;1;0;0;1;0;0;0;1;1;0;0;1;0;1;1;0;1;0
Oliver Heldens;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;1;1;1;1
Robin Thicke;0;0;0;1;1;1;0;0;1;0;1;1;1;0;0;1;1;0;0;0
Sergio Mendes;0;1;1;0;1;1;1;0;0;0;1;0;0;0;1;0;1;0;1;0
The Weeknd;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;1;1;1
Ärzte;0;0;0;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;1;1
Bee Gees;0;0;0;0;1;1;1;1;0;0;0;1;0;1;0;1;1;0;0;0
Bill Withers;0;1;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0
Charli Xcx;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;1;1;1
Die Fantastischen Vier;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0
Q-Tip;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;0;1;0;1;0
GoonRock;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;0;1;0;1;0
Fergie;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;0;1;0;1;0
Gotan Project;0;1;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;1
Fedde LeGrand;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;1;1;1
Ida Corr;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;1;1;1
Mario Biondi;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0
Jasmin Tabatabai;1;1;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0
Jet;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;1;1;1
KT Tunstall;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;1;0;1;0
Fatman Scoop;0;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0;0;0;1;0
Ray Dalton;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;1
Michael Bublé;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;1
Music Travel Love;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;1;1;0;0
P!nk;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;1;1;1
Spyro Gyra;0;1;1;0;0;0;0;0;1;0;1;0;1;1;0;0;0;1;0;1
Tasmin Archer;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;1;0;0
Thievery Corporation;0;0;0;0;0;0;1;1;1;0;1;0;1;0;1;1;0;1;0;0
Andre;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1
Barry White;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1
Biffy Clyro;0;1;0;1;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0
Camila Cabello;0;1;0;0;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0
Caro Emerald;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;1
Edie Brickell;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1
Flo Rida;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;0;0;0;1
Helene Fischer;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1
Icona Pop;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1
James Bay;0;1;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0
Jimmy Messina;0;1;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;1;0;0
The Killers;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1
Kooks, the;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;1;0;0;0;0
La Lupe;0;1;0;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
McFly;0;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;1;0;0
Mezzoforte;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0
Michel Teló;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;1
Mo' Horizons;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1
