;7.5.;14.5.;21.5.;27.5.;4.6.;5.6.;11.6.;24.6.;2.7.;16.7.;23.7.;13.8.;19.8.;20.8.;26.8.;27.8.;2.9.;3.9.;17.9.;24.9.
For You (Acoustic Version);1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1
Desafinado;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A Love That Will Last;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Something in the Water;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Samba Pa Ti;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Land of Confusion;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Here Comes the Rain Again;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
You Can Call Me Al;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Riptide;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Let It Go / Umbrella (Medley) (Acoustic Version);1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0
Bubbly;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Baby, I Love Your Way (Radio Version);1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Pink Panther Theme;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Wicked Game [Rumba 28 TPM];1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mrs. Robinson;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Chuck E's in Love;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Under My Thumb;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
Do You Know The Way To San Jose?;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bang Bang (Album Version);1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Danke Schön [Foxtrott 37 TPM];1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bongo Cha Cha Cha;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Take Five;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
By The Time I Get To Phoenix;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Die Perlenfischer: H r ich die Stimmen im Traum;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hang on to Your Love;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
