;2.9.;3.9.;8.9.;9.9.;10.9.;16.9.;17.9.;22.9.;23.9.;30.9.
Robin Schulz;1;1;1;1;1;1;1;1;1;1
Coldplay;1;1;1;1;1;1;1;1;1;1
Avicii;1;1;1;1;1;1;1;1;1;1
Jay-Z;1;1;1;1;1;1;1;1;1;1
Jennifer Lopez;1;1;1;1;1;1;1;1;1;1
The Weeknd;1;1;1;1;1;1;1;1;1;1
Usher;1;1;1;1;1;1;1;1;1;1
PUR;1;1;1;1;1;1;1;0;1;1
Calvin Harris;1;1;1;1;1;1;1;1;0;1
DJ Robin;1;1;1;1;1;1;1;0;1;1
Schürze;1;1;1;1;1;1;1;0;1;1
Dua Lipa;1;1;1;1;1;1;1;1;0;1
Seeed;1;1;1;1;1;1;1;1;0;1
Beyoncé;1;1;1;1;1;1;1;1;1;0
Bruno Mars;1;1;1;1;1;1;1;1;1;0
Backstreet Boys;1;1;1;1;1;1;1;1;1;0
Daft Punk;1;1;1;1;1;0;1;1;1;1
Kalenna;1;1;1;1;1;1;1;1;1;0
Peter Fox;1;1;1;1;1;1;1;1;1;0
Timati;1;1;1;1;1;1;1;1;1;0
Justin Timberlake;1;1;1;0;1;1;1;1;1;1
OMI;1;1;1;0;1;1;1;1;1;1
Andreas Gabalier;1;1;1;1;0;1;1;1;1;1
DJ Snake;1;1;1;1;1;1;1;1;1;0
Dr Alban;1;1;1;1;1;1;1;1;1;0
David Guetta;0;1;1;1;1;1;1;1;0;1
Purple Disco Machine;1;1;1;0;1;1;1;0;1;1
Michael Jackson;1;1;1;0;0;1;1;1;1;1
Pietro Lombardi;1;0;1;1;1;1;1;1;1;0
Farruko;1;0;1;1;1;1;1;1;0;1
Apache 207;1;1;1;1;1;1;1;0;0;1
Don Omar;0;0;1;1;1;1;1;1;1;1
Flo Rida;1;1;0;1;1;1;1;1;1;0
Lucenzo;0;0;1;1;1;1;1;1;1;1
MattOfficiel;0;0;1;1;1;1;1;1;1;1
Chaka Khan;0;1;1;1;1;1;1;1;0;1
LEON MACHÉRE;1;1;1;1;1;1;1;0;1;0
Los Del Rio;1;0;1;1;1;1;1;1;1;0
Luis Fonsi;1;1;1;0;1;1;1;1;1;0
Rufus & Chaka Khan;0;1;1;1;1;1;1;1;0;1
Santigold;1;1;1;1;1;1;1;0;1;0
The Bloodhound Gang;0;1;0;1;1;1;1;1;1;1
Helene Fischer;1;1;1;1;0;1;1;1;0;0
ED SHEERAN;1;1;0;1;1;1;1;1;0;0
Shapeshifters;0;1;0;0;1;1;1;1;1;1
Cheat Codes;0;1;1;0;0;1;1;1;1;1
Macklemore;1;0;1;1;1;1;1;0;1;0
Ryan Lewis;1;0;1;1;1;1;1;0;1;0
Daddy Yankee;0;1;1;1;0;1;1;1;1;0
Moss Kena;0;1;1;0;1;1;1;0;1;1
The Knocks;0;1;1;0;1;1;1;0;1;1
Bob Marley;0;1;1;1;0;1;1;1;0;1
Bob Marley & The Wailers;0;1;1;1;0;1;1;1;0;1
Dennis Lloyd;1;1;1;1;0;1;1;0;0;1
Julian Sommer;1;1;1;1;1;0;1;0;1;0
Micar;1;1;1;0;1;1;1;0;1;0
Safri Duo;1;1;1;1;0;1;1;0;1;0
pitbull;1;1;0;0;0;0;1;1;1;1
RAF Camora;1;1;1;1;1;1;0;0;0;0
Ray Dalton;0;0;1;1;1;1;1;0;1;0
Sean Paul;0;1;1;1;1;1;0;1;0;0
Wolfgang Petry;1;1;0;0;0;1;1;0;1;1
Lost Frequencies;1;1;0;0;0;1;1;1;1;0
Pharrell;1;1;1;1;0;1;0;0;0;1
Sigala;0;1;1;0;0;1;1;1;0;1
ABBA;1;0;0;1;0;1;1;1;1;0
Alvaro Soler;0;1;1;1;1;0;0;1;1;0
Cardi B;0;1;1;1;1;1;0;1;0;0
Faithless;1;0;1;0;0;1;1;1;0;1
James Blunt;0;1;1;0;1;1;1;0;1;0
Just Kiddin;1;0;1;0;1;1;1;0;1;0
Justin Bieber;0;1;0;1;1;1;0;1;0;1
Lionel Richie;0;1;0;0;1;1;1;1;0;1
Major Lazer;1;1;0;0;1;0;1;1;1;0
Maroon 5;0;1;1;0;0;1;1;0;1;1
Max Frost;1;0;1;0;1;1;1;0;1;0
Ozuna;0;1;1;1;1;1;0;1;0;0
Phil Collins;1;1;0;0;1;1;0;0;1;1
Selena Gomez;0;1;1;1;1;1;0;1;0;0
Showtek;1;0;0;1;1;0;1;1;1;0
The Script;1;1;0;1;1;1;1;0;0;0
T-Pain;1;1;0;0;1;1;1;0;1;0
RIN;0;1;0;0;1;1;1;1;0;0
DJ Tobi Schagen;0;0;1;1;0;1;1;0;0;1
50 Cent;1;0;0;1;1;1;1;0;0;0
Christina Aguilera;0;1;0;0;1;1;1;0;1;0
Jamule;1;1;0;0;0;1;1;1;0;0
Mark Forster;0;1;0;0;0;1;1;0;1;1
vengaboys;0;1;1;1;1;0;0;0;1;0
The Black Eyed Peas;1;1;0;0;1;1;0;0;0;1
Budapest Film Orchestra And Choir;0;0;1;0;0;1;1;0;1;1
Chris Wacup;0;1;0;0;1;1;1;0;1;0
Die Flippers;1;1;0;0;0;1;1;0;1;0
Dragonette;1;1;0;0;0;0;1;1;1;0
Gabry Ponte;1;1;0;0;1;1;1;0;0;0
Gloria Estefan;1;0;1;1;1;1;0;0;0;0
Hypeman;0;0;1;1;0;0;0;1;1;1
Kay One;1;0;0;0;1;1;1;1;0;0
LUM!X;1;1;0;0;1;1;1;0;0;0
Madonna;0;1;0;0;1;1;1;0;1;0
Mufasa;0;0;1;1;0;0;0;1;1;1
Nessi;0;1;0;0;1;1;1;0;1;0
